Date,Hour,Imports,Exports
07-Jan-14,7,"1,342","3,899"
07-Jan-14,8,"1,146","3,780"
07-Jan-14,9,"1,141","3,492"
07-Jan-14,10,"1,174","3,005"
07-Jan-14,11,882,"2,903"
07-Jan-14,12,373,"2,920"
07-Jan-14,13,891,"3,354"
07-Jan-14,14,753,"3,300"
07-Jan-14,15,824,"3,344"
07-Jan-14,16,448,"3,304"
07-Jan-14,17,304,"3,127"
07-Jan-14,18,191,"3,334"
07-Jan-14,19,51,"3,238"
07-Jan-14,20,86,"3,378"
07-Jan-14,21,25,"3,530"
07-Jan-14,22,35,"3,026"
07-Jan-14,23,407,"3,282"
07-Jan-14,24,597,"2,771"
08-Jan-14,1,627,"2,474"
08-Jan-14,2,595,"2,853"
08-Jan-14,3,"1,024","3,120"
08-Jan-14,4,793,"3,371"
08-Jan-14,5,922,"3,796"
08-Jan-14,6,973,"3,930"
08-Jan-14,7,62,"3,119"
08-Jan-14,8,25,"3,206"
08-Jan-14,9,25,"2,871"
08-Jan-14,10,350,"2,409"
08-Jan-14,11,650,"2,157"
08-Jan-14,12,628,"2,397"
08-Jan-14,13,"1,074","2,618"
08-Jan-14,14,"1,308","2,995"
08-Jan-14,15,647,"2,404"
08-Jan-14,16,412,"2,576"
08-Jan-14,17,261,"2,389"
08-Jan-14,18,648,"2,396"
08-Jan-14,19,"1,160","2,896"
08-Jan-14,20,732,"2,432"
08-Jan-14,21,508,"2,205"
08-Jan-14,22,700,"2,153"
08-Jan-14,23,"1,345","2,360"
08-Jan-14,24,536,"2,262"
09-Jan-14,1,249,"2,428"
09-Jan-14,2,295,"2,252"
09-Jan-14,3,281,"2,237"
09-Jan-14,4,294,"2,157"
09-Jan-14,5,197,"1,752"
09-Jan-14,6,194,"1,912"
09-Jan-14,7,123,"1,879"
09-Jan-14,8,420,"2,388"
09-Jan-14,9,316,"2,340"
09-Jan-14,10,"1,216","2,414"
09-Jan-14,11,"1,150","2,031"
09-Jan-14,12,"1,574","2,650"
09-Jan-14,13,"1,075","2,359"
09-Jan-14,14,"1,465","2,357"
09-Jan-14,15,"1,148","2,293"
09-Jan-14,16,662,"1,910"
09-Jan-14,17,"1,041","2,119"
09-Jan-14,18,"1,250","2,287"
09-Jan-14,19,865,"2,048"
09-Jan-14,20,450,"1,675"
09-Jan-14,21,458,"1,808"
09-Jan-14,22,755,"1,871"
09-Jan-14,23,776,"1,550"
09-Jan-14,24,467,"1,357"
10-Jan-14,1,717,"1,549"
10-Jan-14,2,517,"1,449"
10-Jan-14,3,626,"1,664"
10-Jan-14,4,226,"1,465"
10-Jan-14,5,126,"1,798"
10-Jan-14,6,112,"1,769"
10-Jan-14,7,300,"2,230"
10-Jan-14,8,0,"1,816"
10-Jan-14,9,0,"1,888"
10-Jan-14,10,551,"1,790"
10-Jan-14,11,250,"1,562"
10-Jan-14,12,355,"1,358"
10-Jan-14,13,455,"1,560"
10-Jan-14,14,550,"1,420"
10-Jan-14,15,950,"1,679"
10-Jan-14,16,751,"1,633"
10-Jan-14,17,356,"1,209"
10-Jan-14,18,298,"1,190"
10-Jan-14,19,400,"1,892"
10-Jan-14,20,737,"2,045"
10-Jan-14,21,"1,144","1,820"
10-Jan-14,22,699,"1,052"
10-Jan-14,23,496,854
10-Jan-14,24,359,"1,417"
11-Jan-14,1,459,"2,117"
11-Jan-14,2,537,"2,597"
11-Jan-14,3,294,"2,649"
11-Jan-14,4,112,"2,400"
11-Jan-14,5,112,"2,407"
